"","X1","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open"
"39",70,"gbN4RuUiiBxQ2GBFQ2p3Cw","Mr. Margarita","Truck Inn Way","Fernley","NV","89408",39.5139704538,-119.8472038094,5,7,1
"40",73,"8rb-3VYXE37IZix4yOdskw","Sharky's Sports Bar & Grill","820 N Black Horse Pike","Williamstown","NJ","08094",39.6968014,-74.9998214,2.5,29,1
"41",75,"aCDY7vXYMs54EbYuQScsnQ","39 North Taproom & Grill","110 S MacDade Blvd","Glenolden","PA","19036",39.9036968861,-75.2949812448,4.5,25,1
"42",76,"-4dYswJy7SPcbcERvitmIg","Pathmark","3021 Grays Ferry Ave","Philadelphia","PA","19146",39.9404026,-75.1932966,2.5,34,0
"43",78,"x9K0RfZaT_zlw6DklBDzjw","Gavi Italian Restaurant","7401 N La Cholla Blvd, Ste 146","Tucson","AZ","85707",32.221667,-110.925833,3.5,9,0
"44",79,"pJfh3Ct8iL58NZa8ta-a5w","Top Shelf Sports Lounge","3173 Cypress Ridge Blvd","Wesley Chapel","FL","33544",28.1962523878,-82.3806153496,4.5,95,1
"45",81,"7clCBgNbd-x2Wj96lZ6Mjw","Bier Brewery and Tap Room","5133 E 65th St","Indianapolis","IN","46220",39.8755319,-86.0828565,4.5,139,1
"46",82,"ppFCk9aQkM338Rgwpl2F5A","Wawa","3604 Chestnut St","Philadelphia","PA","19104",39.954573,-75.1948936,3,56,1
"47",83,"NZ_bFJma7brQUfln5h1UAg","Super Sushi Kyo Hin","2501 Mt Holly Rd 245","Burlington","NJ","08016",40.0416285,-74.8258209,3.5,6,0
"48",85,"IDtLPgUrqorrpqSLdfMhZQ","Helena Avenue Bakery","131 Anacapa St, Ste C","Santa Barbara","CA","93101",34.4144445,-119.6906718,4,389,1
"49",87,"YNjyv0gfOr2g8lbmUpTnKg","Copper Vine","1001 Poydras St","New Orleans","LA","70112",29.9506467229,-90.0744274301,4.5,350,1
"50",88,"LhpPSrulqVeTyJeK2xydvQ","Fresh Fruits & Salads","114 N 3rd St","Camden","NJ","08102",39.9466899,-75.123327,4.5,6,1
"51",89,"oaboaRBUgGjbo2kfUIKDLQ","Mike's Ice Cream","129 2nd Ave N","Nashville","TN","37201",36.1626492,-86.7759733,4.5,593,1
"52",93,"RK6-cJ9hj53RzOlCBmpT-g","Impasto",NA,"Tampa","FL","33611",27.890814,-82.5023464,5,5,1
"53",97,"knQ4vIgx-r85kjlWVVjcpQ","Silver and Blue Outfitters","5191 Meadowood Mall Cir","Reno","NV","89502",39.476518,-119.7840369,4.5,5,1
"54",99,"1MeIwdbTnZOBFCKOrgaxuw","Ricardo's Italian Cafe","1931 Park Ave","Saint Louis","MO","63104",38.6172724,-90.2127841,3.5,80,0
"55",102,"EuRGgOwJ0g1vTj2R04j37Q","Crafty Crab","51 Ludwig Dr","Fairview Heights","IL","62208",38.6012982,-89.9896835,2.5,14,1
"56",103,"TLZ3-eDPLhUzfsWO4ad6Ug","Mahony's Po-Boys & Seafood","901 Iberville St","New Orleans","LA","70112",29.9554151,-90.0700619,4,382,1
"57",104,"Dy91wdWkwtI_qgjAIZ0Niw","Taqueria Los Primos","3322 Old Capitol Trl","Wilmington","DE","19808",39.7320886,-75.6256733,4,23,1
"58",106,"vje0KIiE7vtpx7JzmBx5LQ","The Pearl","163 107th Ave","Treasure Island","FL","33706",27.7694046,-82.767317,4,129,1
"59",110,"VrGxoSNZfSiT-G4OqRRGIw","Sunset 44 Bistro","118 W Adams Ave","Saint Louis","MO","63122",38.5832229,-90.4071872,4,73,1
"60",112,"sB45WFgysT617bKWP_WJwA","Budweiser Brewery Experience","1200 Lynch St","Saint Louis","MO","63118",38.6001971,-90.2135377,4.5,605,1
"61",113,"Fk1xpM7fjqEJ4paqk5ZFSg","Jamba Juice","13601 W Mcmillan Rd, Ste 103","Boise","ID","83713",43.6478323,-116.3520706,3,19,0
"62",114,"4dVrWc4Nhuw9apfk9BWEcA","Walmart Supercenter","41232 US Hwy 19 N","Tarpon Springs","FL","34689",28.1477204,-82.7425681,2,29,1
"63",117,"kk_oEw1j3xQ-cJaAII8A0Q","Giant Food Store","1760 Dekalb Pike","Blue Bell","PA","19422",40.1490655,-75.3060284,3,29,1
"64",119,"qFX8IdomeBVhDPCSyz2aRg","Nashville Delivers","6591 Bluff Rd","Brentwood","TN","37027",36.002397,-86.7023814,3.5,7,1
"65",122,"VZzivJEbmHItOxNXJB3SpA","Subway","330 Franklin Rd, Ste 900-d","Brentwood","TN","37027",36.0263631408,-86.7894728157,2.5,14,1
"66",126,"anLQj9AM8vjbcLSIE0iUgg","Papa Murphy's","7250 North La Cholla, Suite 186","Tucson","AZ","85741",32.3385723,-111.0107602,4,22,1
"67",129,"Cdytv_YhJO0W0Ab8t2xLtg","Nipper's Pub","1205 Delsea Dr","Woodbury","NJ","08096",39.8444681,-75.1248703,3.5,29,1
"68",130,"3BJxm-HnvzdwD1zjmSbmyQ","Golden Chopstick Chinese Restaurant","1800 Spring Garden St","Philadelphia","PA","19130",39.963077709,-75.1680274529,3,137,1
"69",131,"FRYkg_JvsWU9xIXZsEZcVA","Altamura","2127 Prytania St","New Orleans","LA","70115",29.9333877563,-90.079498291,3.5,27,0
"70",132,"9C2rpb56aQvW0ViZHK9sPw","Home Plate Sports Pub","4880 E 22nd St","Tucson","AZ","85711",32.206315,-110.887843,3.5,56,1
"71",133,"k0yyD71s2F2eEKWRdkZ6jA","Cold Stone Creamery","55 S Raceway Rd, Ste 400","Indianapolis","IN","46231",39.7628744,-86.3257127,3,19,1
"72",134,"dM5OKNzk9AL2aiq-fV-SYg","Walmart Supercenter","400 W Northfield Dr","Brownsburg","IN","46112",39.8591499,-86.3964221,1.5,14,1
"73",139,"0vCsslN-TYnDeOSNT4rIfg","Whole Foods Market","14598 Clay Terrace Blvd","Carmel","IN","46032",39.999084,-86.131076,3.5,44,1
"74",140,"zFvqulgAYOpSG2t1v8AZ-w","The Cake Drip","1625 W Snow Cir","Tampa","FL","33606",27.935753,-82.4764699,4,40,1
"75",141,"SZU9c8V2GuREDN5KgyHFJw","Santa Barbara Shellfish Company","230 Stearns Wharf","Santa Barbara","CA","93101",34.4087147,-119.6850187,4,2404,1
"76",144,"PYW8Buz8S8LpjIe6mZTAcw","Payless Liquors","954 N State Rd 135","Greenwood","IN","46143",39.632279734,-86.158674289,3.5,13,1
"77",145,"Lx8ZYUJ_-3Aa8N821mN1WQ","ALM Kainan","390 N McCarran Blvd, Ste B","Sparks","NV","89434",39.5371788,-119.7355322,4,13,0
"78",147,"uCQqtYW_xc1EJRm7NyakdA","Yogurt Beach","2500 E 2nd St","Reno","NV","89595",39.523904,-119.777525,4.5,12,1
"79",151,"WYYdQDjx-DsCanlP0DpImQ","J Sushi","243 S 10th St","Philadelphia","PA","19107",39.9470334,-75.1574339,4.5,72,0
"80",153,"aNtKyc2rr-uK5cqzY9TVQQ","Chipotle Mexican Grill","10160 Ulmerton Rd","Largo","FL","33771",27.894167,-82.779866,3,19,1
"81",157,"oCFcoyGx2VRZ8MHXEsV8tQ","Giant Food Store","4801 Edgmont Ave","Brookhaven","PA","19015",39.877374,-75.394007,2.5,10,0
"82",159,"X_E7U2lVNEwbH_gpOBmAHQ","Cerveza Jack's","135 2nd Ave N","Nashville","TN","37201",36.162799,-86.776016,4,182,1
"83",161,"G4lRmwDHdvhZAhmtlsYYBw","Wendy's","741 Thompson Ln","Nashville","TN","37204",36.112075744,-86.7674462724,1.5,37,1
"84",165,"BxhkoR6cscJwwex8gx31OA","Bar-B-Cutie","1787 Gallatin Pike N","Madison","TN","37115",36.296536,-86.700179,3.5,40,1
"85",167,"Ms5xG8i4p80KSMcF3tt4ug","Sal DeForte's Ristorante","1400 Parkway Ave","Ewing","NJ","08628",40.2668877,-74.8056572,4,52,1
"86",169,"m9ncuZp0nEVhIwu24G-HRw","CVS Pharmacy","2215 Shelby St","Indianapolis","IN","46203",39.7371,-86.1391,2.5,10,1
"87",181,"ORL4JE6tz3rJxVqkdKfegA","Gaylord Opryland Resort & Convention Center","2800 Opryland Dr","Nashville","TN","37214",36.2115923083,-86.6943191727,3,1639,1
"88",182,"1GnJDrpp-jyDRCptavD9RQ","Rita's Italian Ice","5004 Pennell Rd","Aston","PA","19014",39.8649175,-75.4275762,4,7,1
"89",185,"P10BsKUeoeCeVoK4BS2u0w","Trust Me BBQ","8624 US Hwy 301 S","Riverview","FL","33569",27.8652573,-82.3260903,4,29,0
"90",186,"7Du9oW73YcYFmXdtU5aiSg","Kinjo's Japanese Restaurant","2875 Tyrone Blvd N","Saint Petersburg","FL","33710",27.7972626,-82.7339127,3.5,17,0
"91",187,"h_qlv6CIXGVurFOhFQ945w","Tim Hortons","17004 111 Avenue NW","Edmonton","AB","T5S 2X1",53.5599789914,-113.6162690363,3.5,6,1
"92",188,"QjV4v7q_pt7tt3K1US7IHg","PDQ Temple Terrace","5112 E Fowler Ave","Tampa","FL","33617",28.0548882706,-82.3995484,3,5,1
"93",189,"LGqiubTmpJ-A1L5n7dmc6g","Domino's Pizza","1525 Lapalco Blvd, # A","Harvey","LA","70058",29.8753202,-90.045817,1.5,14,0
"94",190,"FTFtoylMzkrzqNVSl-bkKw","Giant Food Stores","60 N 23rd St","Philadelphia","PA","19103",39.9565280024,-75.178013742,4,19,1
"95",191,"59jkCUm4yHciKL1KW_1HJA","Roma Pizza & Italian Eatery","1103 Main St","Warrington","PA","18976",40.2295269733,-75.1310898382,2.5,25,1
"96",192,"AzwiKZjVqHOxLaYtPAx8lA","Target","2450 Shoppers Ln","Wyncote","PA","19095",40.076229,-75.155305,2.5,37,1
"97",193,"yM8LlTInbQH4FwWC97lz6w","McDonald's","1919 S Jefferson","St. Louis","MO","63104",38.6124951839,-90.2219420671,1.5,100,1
"98",198,"CtMEJxpVMlNzFpB4PtFjfA","Aussie Grill","25340 Sierra Center Blvd","Lutz","FL","33559",28.192191035,-82.396367,4,75,1
"99",199,"O1oZpbZNDMH_gz8DhsZCdA","Wendy's","700 E. Hunting Park","Philadelphia","PA","19124",40.012141,-75.1150148,1.5,15,1
"100",200,"vPcfJ3rm3NpdqVDod2WxLA","China Pearl","2E Summit Sq Shopping Ctr","Langhorne","PA","19047",40.2177843,-74.9265858,1.5,27,1
"101",202,"pmuuoDqNZp7518AUd-YmPA","Bagelicious - King Of Prussia","216 W Beidler Rd","King of Prussia","PA","19406",40.1124813,-75.3799748,3.5,60,1
"102",205,"2dlQX5sP9X6Dlm1MmNOlSw","ReAnimator Coffee","1523 E Susquehanna Ave","Philadelphia","PA","19125",39.9764555,-75.1270254,4,105,1
"103",206,"IYlUaKC9nICjiWdk-ShPlg","Bub's Cafe","220 2nd St SW","Carmel","IN","46032",39.976614,-86.130124,4,175,0
"104",209,"tSFXJ0GFl5iUdy021YgWLw","The Mad Griddle","2127 E 10th St","Indianapolis","IN","46201",39.781126,-86.1241235,5,7,1
"105",213,"ZU6NodDOWaabGkeNpOWdXw","530 Pub & Grill","530 Cleveland St","Clearwater","FL","33755",27.9657471097,-82.7989008,4.5,6,1
"106",218,"ULReFPrCIDRbGKwP3ZsHwg","Eddie's Southtown Donuts","4701 S Kingshighway Blvd","Saint Louis","MO","63109",38.5857552,-90.2768425,4.5,55,1
"107",220,"rCoWa-C7Os51GjFkCnFlVw","Rite Aid","700 Haddonfield Berlin Rd S37","Voorhees","NJ","08043",39.852159,-74.98264,4.5,6,1
"108",221,"Dtuf4vD0znzwJW9vk3iTNw","Tomo Japanese Steakhouse and Sushi Bar","7411 N Keystone Ave, Ste A","Indianapolis","IN","46240",39.8887246,-86.1212129,4,246,1
"109",222,"8c0r7olQSYGcws0bTd3ikw","Zesty Tsunami","6614 Osteen Rd","New Port Richey","FL","34653",28.2502179787,-82.6824409515,4,5,0
"110",224,"Ucl9Vo5lwrUmYbV8Dv8X5g","O'Briens Irish Pub","15435 N Dale Mabry Hwy","Tampa","FL","33618",28.09236,-82.500588,4,108,1
"111",228,"6BF3eaIzHtoNHSxKTFnTyg","Mister B's Cigar Box","8123 E US Hwy 36","Avon","IN","46123",39.7627741475,-86.3793863588,3.5,13,1
"112",229,"wjyUxHxkrvUvCOVqy4g_wg","Oscar's Cafe","7520 Natural Bridge Rd","Normandy","MO","63121",38.704765,-90.299811,4,11,0
"113",231,"4IcB3QyMEA85UTWFKh9O9A","Eat Mah Taco @ Pal's Lounge","949 N Rendon St","New Orleans","LA","70119",29.976762,-90.086423,4.5,8,0
"114",234,"Y6heWJJ9AmEL58fZwgi9YQ","Rosati's Pizza","2944 W Ina Rd","Tucson","AZ","85741",32.3387235226,-111.0303098651,4,58,1
"115",235,"bTve2mwLk5Zc01vRKqc2KQ","Red Hook Coffee & Tea","765 S 4th St","Philadelphia","PA","19147",39.9385518,-75.1496356,4.5,183,1
"116",236,"7FHjj04Wy2aqXl22NA_C0g","Aldi","9505 Uptown Dr","Indianapolis","IN","46256",39.9250893,-86.0342432,4,18,0
"117",240,"6czqMScx8MRDirv7fxX7pw","Frankie's Fruit Bar","205 E Moana Ln","Reno","NV","89502",39.4928018965,-119.7929971762,4.5,34,1
"118",242,"xbRbvXSAVZBEwaUUn3mzbg","Lee Roy Selmon's","14457 N Dale Mabry Hwy","Tampa","FL","33618",28.0787347875,-82.5063104158,3.5,42,0
"119",245,"uDQgmudYDKiB6n4vwbEeDg","Chrysalis","9040 Carothers Pkwy","Franklin","TN","37067",35.9565328581,-86.8027199385,4.5,112,1
"120",247,"v5kwdvmg-J8g-ll0nkc3Sw","The Libertine Liquor Bar","38 E Washington St","Indianapolis","IN","46204",39.7672488945,-86.1567753553,4,208,0
"121",249,"bqmX882_6AxVA_uHEQ70sQ","Shanghai Station","4002 Spruce St","Philadelphia","PA","19104",39.9516153765,-75.2033457223,4,46,0
"122",252,"TzrA1TsKMKbrZBkw3q6DEQ","Scout's Treat Truck",NA,"Indianapolis","IN","46250",39.904342,-86.0631561,4.5,20,1
"123",253,"Edg22x3CZkIv0GUib2oEFA","Mellow Mushroom","8227 Oak St","New Orleans","LA","70118",29.9486236188,-90.1312502816,3.5,149,0
"124",254,"VVvUBlc_WIEb8obKGq39dA","Four Green Fields","4100 George J Bean Pkwy, Airside E, Tampa International Airport","Tampa","FL","33607",27.9803985924,-82.5377866183,4.5,39,1
"125",256,"py5aKmlTB2NarfsfcOpHOQ","Cafe Con Leche","4100 George J Bean Pkwy","Tampa","FL","33607",27.9767745,-82.5374233,2.5,55,1
"126",257,"jL_NufxqXi-BpW5uXKsPwQ","CVS Pharmacy","518 Port Royal Ave","Philadelphia","PA","19128",40.0612774187,-75.2372046062,3,11,1
"127",258,"wZhGuW7vQpfhxeEvLHkTrA","Express Cafe","400 E Fairview Ave","Meridian","ID","83642",43.6196488,-116.3871392,4.5,119,1
"128",264,"YR0nwxBOKk6DiLHNItfsBQ","Boston Pizza","200 St. Albert Rd","St Albert","AB","T8N 5H9",53.625071,-113.6166452,3.5,14,1
"129",266,"n8ecak12IF_jhnPNs37AZA","Baltic Bakery","2609 Edgemont St","Philadelphia","PA","19125",39.9768798,-75.1161695,4.5,12,1
"130",271,"jcL_qaGJiappzpnn-ifSoA","Fat Jakks","10126 - 107 Avenue NW","Edmonton","AB","T5H 0V6",53.5515508,-113.4951554,4,8,0
"131",274,"_T0cPZE2ZJOTTlYYKMP64Q","Brown Sugar Bakery & Cafe","219 S 52nd St","Philadelphia","PA","19139",39.9563959,-75.2253784,4.5,66,1
"132",275,"dJfkfBbJz7wi0RgW-ph_Eg","Sake House","5106 E Fowler Ave","Tampa","FL","33617",28.055212,-82.399374,3,140,0
"133",276,"VbItL6RDULtnw4YvB6EhVg","Jon's Bar & Grille","300 South St","Philadelphia","PA","19147",39.9412993,-75.1477446,3,178,0
"134",278,"W57cR9a7XP6RX56MSWHJJA","Las Margaritas","514 S Rampart St","New Orleans","LA","70163",29.95029,-90.074887,3.5,58,0
"135",282,"x7_p5O3ChQa7shdHCcLHZQ","Olivier's Creole Restaurant","204 Decatur St","New Orleans","LA","70130",29.9510658,-90.0715323,3.5,172,0
"136",284,"JF7iyI3wA_AKi_iXOKi0Qw","Parlor Suburban Square","30 Parking Plz","Ardmore","PA","19003",40.008645,-75.288802,3.5,61,0
"137",288,"usv5G5cO314pPHRTGq2Eyw","Best Tours",NA,"Philadelphia","PA","19019",40.1197128,-75.0097103,1,38,1
"138",290,"xa6JYHDgVza7CuenKBJBHw","Taqueria El Sitio","3466 A Lebanon Pike","Hermitage","TN","37076",36.191654,-86.6254189,4.5,8,0
"139",291,"1dSKEitDDgIkaApe6UNMSA","The Pepper Pott","4611 Alabama Ave","Nashville","TN","37209",36.1530043,-86.8433279,5,18,1
"140",292,"rZw9O5lJ36m_mXeRKE4G9A","La Sponda","20 E Lancaster Ave","Downingtown","PA","19335",40.0062075104,-75.7044510304,4.5,29,1
"141",293,"dCITjr2RMTmrX33_eFaMKA","BurgerWorks","160 Broadway Boulevard","Sherwood Park","AB","T8H 2A3",53.5426345,-113.3111322,3.5,17,0
"142",296,"Pr_Mlt9FqdcW7WCFGJmozA","The Cider Factory","420 S B St","Virginia City","NV","89440",39.305224,-119.652596,4.5,104,1
"143",297,"-7GDqSUaXrpC8Ql7nDBxWA","B2 Bluefin","401 E City Ave","Bala Cynwyd","PA","19004",40.0079839104,-75.2126064939,4,92,0
"144",301,"e8pMCk4bE0U4qk7z59Lxkg","Federal Donuts","2101 Pennsylvania Ave","Philadelphia","PA","19130",39.963042,-75.1741858944,4.5,11,1
"145",308,"tuyCmcmm5Q-bc-9zV76xKA","Pho Friendly","729 Brunswick Ave","Trenton","NJ","08638",40.23547,-74.7532115132,4.5,93,0
"146",312,"V-96iACFgPmVjjKACGxd7Q","Fusion Pizza & Grill","1900 Grant Ave, Ste M-N","Philadelphia","PA","19115",40.0839955,-75.0354963,2.5,6,0
"147",313,"p184f-Zvf4ToPwLba0VS4A","Misto Diner","5413 Neshaminy Blvd","Bensalem","PA","19020",40.1447023,-74.934106,3.5,26,0
"148",315,"zVlhs7BVaouutt-rles-YA","Williams Sub Shop","3801 Tyrone Blvd N","Saint Petersburg","FL","33709",27.806517,-82.749065,4.5,99,1
"149",316,"1E9o1SNo7UTf1XHTFPv1_Q","Franklin Juice Co","230 Franklin Rd, Ste 11W","Franklin","TN","37064",35.9326054453,-86.860662065,4.5,66,1
"150",317,"0CEUpFtaKhxbmrbSdP9MUQ","Acadia","824 S 8th St","Philadelphia","PA","19147",39.9389483,-75.1564078,4,79,0
"151",319,"f82dhKNiUXsDVPMLqKYiIQ","Sher-e-Punjab","853 East Grant Rd","Tucson","AZ","85719",32.2509598946,-110.9591583204,4,446,1
"152",320,"FF45pKN_lzqG8Bqk-_HQvw","Go! Gyro! Go!",NA,"Saint Louis","MO","63116",38.5844866,-90.266699,4.5,49,1
"153",324,"IOZrqUQ2Jg6UeQ5CWpsmkg","Nesbit's Magazine Street Market","301 Magazine St","New Orleans","LA","70130",29.9504773,-90.0679445,5,7,1
"154",325,"TEP-73fGvgSUmtQFaOTA_g","The Steak Out","3640 W Tangerine Rd","Marana","AZ","85658",32.424551,-111.042885,2.5,30,0
"155",332,"bDAlJYMIzwOewIThe2IZjQ","Domino's Pizza","4430 South Mann","Indianapolis","IN","46221",39.699929,-86.2416313,4,12,1
"156",333,"b7YJrFZWZdI2C5-9nZvVdw","Saltwater Grill","710 S Carrollton Ave","New Orleans","LA","70118",29.944454,-90.133537,2.5,34,0
"157",337,"SGigkw0zqh4TTXferq3XGA","Sparkle Cupcake Company","321 Sam Ridley Pkwy W","Smyrna","TN","37167",35.9873329,-86.5469148,4,5,0
"158",338,"x9xBKymj6CJ2WuCCFInb7g","Fine Wine & Good Spirits","12 E Hinckley Ave, Ridley Pk","Chester","PA","19078",39.8790789,-75.3227924,3.5,8,1
"159",339,"SRexiuEsx1d9-dZVUsssQA","Brandon Burgers","1513 W Brandon Blvd","Brandon","FL","33511",27.9373704213,-82.3077001423,3.5,24,1
"160",340,"xJyp6RLqNRv3tSu6njPKxQ","World of Beer","102 Main St, Ste 100","Exton","PA","19341",40.0236651,-75.6291878,3,208,1
"161",343,"1P_mGUY1PyPq7_ZabrzpBw","Carmine's Steakhouse","20 S 4th St","Saint Louis","MO","63102",38.6243584,-90.1886849,4,261,1
"162",345,"XwoXi0M66RU6Gouq-DSDHw","G Peppers Grill & Tavern","8745 Gunn Hwy","Odessa","FL","33556",28.0921362,-82.5785736,4,82,1
"163",348,"OfW-VK04qr7b7bPm5QbyLg","Taqueria Feliz","303 Horsham Rd","Horsham","PA","19044",40.1807271,-75.1346993,3,77,0
"164",350,"Qa1YQzo00sm9O0JUlwdCQw","Taste of Nawlins","504 Madison St","New Orleans","LA","70116",29.9580151,-90.0618951,4,178,1
"165",351,"0DbIUh_Xuj6H5B_SF0RLCQ","Iguana's Mexican Restaurant","680 E 56th St, Ste A","Brownsburg","IN","46112",39.8518617214,-86.3847577572,4,74,1
"166",352,"bSJczuohHVko33UT82hnfA","Blaze Pizza","611 O'keefe Ave","New Orleans","LA","70113",29.948395,-90.075281,4,302,1
"167",355,"PCM-vL-vRLJ4HB2OE8Nnbg","Baxter's Saloon & Grill","20 Liberty Blvd","Malvern","PA","19355",40.0536347,-75.526719,2.5,31,0
"168",357,"8YJtf5v76SIz-4udyF4YmA","The Hideout Coffee House","218 Oakfield Dr","Brandon","FL","33511",27.9344684803,-82.2878021747,4.5,22,0
